"","year","sfc","samp.depth","VI IX instr","BI ssf rec scaling","sfc_resc5180","sfc_resc8111","sfc_resc"
"486","1951",1.04415009339471,21,11.3,12.0015720789474,11.7434151044124,11.7111202996594,11.7311080844895
"487","1952",1.05049507412636,21,11.625,12.1202562894737,11.9003210134749,11.8759081912736,11.8913537129778
"488","1953",1.02213351281412,21,10.85,11.2894668157895,11.1989640277981,11.1393193678884,11.1750684459925
"489","1954",1.04828024244956,21,12.225,11.8532168157895,11.8455501335675,11.8183859610674,11.8354170428672
"490","1955",1.01427585817174,21,11.525,11.2894668157895,11.00465099567,10.9352452506746,10.9766194892714
"491","1956",0.98062622404663,21,10.025,10.2806510263158,10.1725245235308,10.061317890517,10.126781326347
"492","1957",1.0690575325222,21,12.45,12.4169668157895,12.3593546232232,12.3580008108722,12.360157786265
"493","1958",1.02096691373227,21,10.65,11.2004536578947,11.1701150372037,11.1090211824111,11.1456054088343
"494","1959",0.972905599187986,21,10.1,10.0136115526316,9.98160011994156,9.86080262558433,9.93179312462973
"495","1960",1.03509102543397,20,10.75,11.6158483947368,11.5193921556039,11.4758438232799,11.5023168398378
"496","1961",1.03811427995475,20,10.8,11.7048615526316,11.5941546362122,11.5543619085764,11.578670628959
"497","1962",1.08612847757923,19,12.475,12.7433483947368,12.7815043926255,12.8013567740788,12.7912929520357
"498","1963",1.01998972584507,19,10.975,11.2301247105263,11.145950022328,11.0836422666266,11.1209260451358
"499","1964",1.00321012765032,19,11,10.5476905,10.7310050099159,10.6478529828466,10.6971489885588
"500","1965",1.05669428636693,19,11.7,11.9422299736842,12.0536221932918,12.0369102743367,12.0479178860833
"501","1966",1.04716355899832,19,11.775,11.9422299736842,11.8179355135296,11.78938415329,11.8072146496631
"502","1967",0.988489305487568,19,9.9,10.2213089210526,10.3669717557136,10.2655329491662,10.3253673395514
"503","1968",1.02777278696635,19,11.1,11.2894668157895,11.3384184209209,11.2857790873236,11.3174911055655
"504","1969",1.01557187555821,19,11.625,10.9334141842105,11.0367003894799,10.9689046078333,11.0093510497615
"505","1970",1.00024808804716,19,10.75,10.6960457631579,10.6577563215008,10.5709247333017,10.6223412124773
"506","1971",1.05252528507955,19,11.9,11.9422299736842,11.9505263818867,11.92863556692,11.9426276953453
"507","1972",1.04392688180275,19,12.4,11.7938747105263,11.7378952739778,11.7053231870789,11.725470765268
"508","1973",0.999942991351948,19,10.55,10.6367036578947,10.6502115429838,10.5630009517696,10.6146358444483
"509","1974",0.999606255340877,19,10.925,10.6663747105263,10.6418843514342,10.5542554536126,10.6061314098391
"510","1975",1.03754331241273,19,12.025,11.5565062894737,11.5800351006273,11.5395330948401,11.5642505611152
"511","1976",0.986997978278477,19,10.65,10.3103220789474,10.3300925181952,10.2268011268193,10.2877031328328
"512","1977",1.02858916858028,19,11.05,11.1707826052632,11.3586068351484,11.3069816426351,11.33810922725
"513","1978",0.964827259688212,19,10.9,9.89492734210526,9.78182974134855,9.65099701856804,9.72777066261894
"514","1979",1.05154712660815,19,12.05,11.7345326052632,11.9263373652999,11.9032314437269,11.9179238190629
"515","1980",1.03219089789249,19,11.775,11.3488089210526,11.4476744991541,11.4005235152782,11.429072683514
"516","1981",0.995463335927946,19,11.8,10.5180194473684,10.539433522322,10.4466581284106,10.5014999297481
"517","1982",1.00179921950664,19,10.45,10.5773615526316,10.6961144666266,10.6112097544286,10.6615158051364
"518","1983",1.01463682530967,19,10.7,10.9927562894737,11.0135774021186,10.9446200645815,10.9857358929813
"519","1984",0.976287805973375,19,10.975,9.9839405,10.0652391809164,9.94864319575139,10.0172124308379
"520","1985",1.05598062816223,19,11.1,11.9719010263158,12.035974040507,12.0183755874937,12.0298940949365
"521","1986",1.07416144338503,19,12.225,12.3576247105263,12.4855699432654,12.490556408067,12.489059581015
"522","1987",0.996127434995196,19,11.125,10.3696641842105,10.555856120319,10.4639056961721,10.518272080352
"523","1988",1.04133627555942,19,11.05,11.4971641842105,11.6738318126651,11.6380415736438,11.6600437225101
"524","1989",1.04473874168942,19,11.675,11.6751905,11.7579718697843,11.7264083069033,11.7459746884926
"525","1990",1.00135515757573,19,11.1,10.6663747105263,10.6851331975106,10.5996768542613,10.6503008013063
"526","1991",1.04765596421056,19,11.875,11.8532168157895,11.8301122703585,11.8021725950799,11.819650586988
"527","1992",1.02190268607291,19,10.325,11.1114405,11.1932558812808,11.1333244793897,11.1692388024078
"528","1993",1.02823168983864,19,10.95,11.4378220789474,11.3497666937358,11.2976974271861,11.3290809247148
"529","1994",1.03719989270689,19,11.75,11.5861773421053,11.5715426270621,11.5306140119212,11.5555773264869
"530","1995",1.02439187290119,19,11.375,11.4081510263158,11.2548113278039,11.1979720908819,11.2321044476464
"531","1996",1.01817254164834,19,11.225,11.1411115526316,11.1010126221404,11.0364474893504,11.075032158929
"532","1997",1.02925662667082,19,10.65,11.1114405,11.3751124988984,11.3243164488594,11.3549662116494
"533","1998",1.07909700017693,18,13.25,12.5949931315789,12.6076220121234,12.6187396180839,12.6137095103853
"534","1999",1.03102010609881,18,12.125,11.3784799736842,11.4187218264068,11.370116439298,11.3995037573434
"535","2000",1.08148754486577,18,12.475,12.4763089210526,12.6667381234909,12.6808253573073,12.6740838995748
